CommitID,Commit Message
0728e4343f69319d5a0461b36a04c126655b1a7c,Created ValidationEventHandler which allows the xml file to be validated Validates xml files before they are unmarshal Added an additional method to auto find a elementMass file in default location Generated the schema for aminoacidcomposition.xsd Change the XML file structure such that the element weight is directly recorded instead of computed Remove all the test cases for the computation of the abundance. Successfully generated an XML schema for ElementMass.xsd and AminoAcidComposition.xsd Remove abundance from ElementMass.xml
072f877d4581c20b0b7259468acd37f770d3b0e2,Support for scale relations and checking them in coupling
07614aa826b7b50a5c88106a20d8e9db89ee6002,Break apart the inheritance structure of the timeline into Timeline and MessageListener.
0791beab8ff65600c57cc8b3fd4dc38f61fb8f4e,"Checking in downsampling iterator alongside LocusIteratorByState, and removing the reference implementation.  Also implemented a heap size monitor that can be used to programmatically report the current heap size."
07b657b0190261e47e6c8b58d7a83553c09c5c49,allow inheritance of @UseModules
07bc39015db51be24c655a2719fb11a8a1953f0e,more inheritance testing
07cc23bf808d1a5e840b6a7d57d4d0d8a78a03f2,Added popups. Introduced page-level abstraction called container for pages and popups.
07cfb765c94f811d641f833b84fe625c5b562017,[historyView] Reduce commit dot size and expand lane color palette.
07d4e8c63de63e589b7bf807fecdf64d167565d3,- A bunch of JMX related tiding up.   - Added a sendTextMessage() method to the DestinationView so that a JMX console can send a test message to a destination.   - Renamed a few bean properties so that they would be more consistent:       - use get*Counter for properties that keep incrementing       - use get*QueueSize for poperties that repesenet the size of list in broker.   - the gc() method on the broker is now the only one expose   - the CachedMessageCount is not exposed anymore.
080c249740a67a710857f82f6ace5c24f317a96e,Bug 497008 - java.lang.StackOverflowError or eclipse crashs when using Quick Type Hierarchy and Open Type Hierarchy on cyclic inheritances
081d4f5bc71d21a1c62083151ec35e1a6b08ee00,"Dump sample for Mysql, file size request, file size printing for dumps."
088bf71f83df6694141be244bb1db698a82e878b,bug #5154 : incorrect sender for pdc notification - taking the opportunity to fix a little problem around the footer of the mail sent by delayed notification mechanism - refactoring the inheritance of created PDC user notification classes and renaming them in order to be homogeneous with the existing ones
08bb597f379d4f868d01efd47adf708eae942c47,"continued cleanup, made tables joined inheritance and matched nullable/sizes"
08c115617b1a7ab1b68a440b21888918c3a89117,"HIVE-1631. JDBC driver returns wrong precision, scale, or column size for some data types (Patrick Hunt via cws)"
08db4cfee2cf85377e6535e447d7350e97683d61,[C#] Updated complexity distribution computation
08df27b22679d95c532b2e1ef082035f2e925e56,"major reimplementation of list and combobox binding dynamic filter and dynamic sorting is now fully supported through java.util.Observable. selectableItemsHolder replaced with selectableItems property to support any selectable collection type like ListModel, Collection, List, ValueModel (containing a collection type), Object[] or Object (single selectable element) reduced complexity of ListBinder/ListBinding. Collection type for selected items is now determined from propertyType including single selection and multiple selection ListBinder and ComboBoxBinder now supports the definition of preset values for selectableItems, filter, comparator, editor (only ComboBox) and renderer to support further customizing "
08f4d0c02165b2aa9b6438a2bb33d61cffdae496,MIFOS-5111 : size of the image is fixed
